职位名称,薪资范围,地点,工作经验,学历要求,岗位标签,公司名称,公司类型,公司规模,city
急招平面设计,5千-6千,天津-北辰,不限,大专,"['策划', '管理能力', '会员运营', '策略运营', '销售运营', '活动运营', '线上运营', '数据分析']",天津市瑞景国际鞋城有限公司,民营 ,100-299人 ,天津
采购主任（天津）,6千-8千,天津-和平,3-5年,本科,"['后勤采购', '采购管理', '数据分析']",华厦眼科医院,股份制企业 ,1000-9999人 ,天津
钉钉二次开发工程师,5千-1万,天津-津南,1-3年,本科,"['数据分析', '解决方案', '需求分析']",天津拓思创意科技有限公司,股份制企业 ,20-99人 ,天津
销售助理（电子元器件方向）,4千-6千,天津-南开,1-3年,大专,"['销售文员', '技术支持', '客户维护', '数据分析', '销售支持']",天津达安泰科技有限公司,股份制企业 ,20-99人 ,天津
拣运助理/专员,6千-7千,天津-武清,1-3年,大专,"['运营专员', '物流运营', '商家运营', '全职', '工作软件运用PPT写作', '数据分析']",达达集团,外商独资 ,1000-9999人 ,天津
VOS运营,1万-1.8万,天津-南开,1-3年,大专,"['VOS', '数据分析', '资源']",北京讯音科技有限公司,其它 ,20-99人 ,天津
产品经理,1万-1.5万,天津-西青,5-10年,本科,"['TO C', 'TO B', '市场调研', '产品规划', '需求分析', '产品运营', '项目管理', '数据分析']",呷哺呷哺,外商独资 ,10000人以上 ,天津
商品专员/主管,7千-1.4万,天津,3-5年,本科,"['数据分析', '商务采购']",天津力步贸易有限公司,上市公司 ,500-999人 ,天津
产品经理,5千-1万,天津-北辰,3-5年,大专,"['市场调研', '产品规划', '需求分析', '数据分析']",佳乐利康(天津)医用食品有限公司,民营 ,20-99人 ,天津
IT担当【E110526 】,6千-1万,天津-和平,不限,本科,"['电动', '自动驾驶', '数据分析']",北京旭日东光信息咨询有限公司天津分公司,外商独资 ,20人以下 ,天津
市场推广主管,6千-9千,天津,5-10年,本科,"['品牌推广', '数据分析', '活动策划', '市场调研', '活动执行', '线下推广']",安纽希(天津)婴幼儿食品科技有限公司,民营 ,100-299人 ,天津
跨境电商产品开发经理（天津）,7千-1万,天津-河东,1-3年,大专,"['海外产品', '商业产品', 'TO C', '产品规划', '数据分析']",天津乐蜂科技有限公司,民营 ,20-99人 ,天津
产品主管（食品方向）,8千-1.3万,天津-南开,3-5年,本科,"['市场调研', '需求分析', '产品运营', '数据分析', '用户增长']",天津阿正食品有限公司,上市公司 ,300-499人 ,天津
产品经理,8千-1万,天津,3-5年,本科,"['数据分析', '竞品分析', '电商产品']",宝岛(天津)智能科技有限公司,民营 ,100-299人 ,天津
科创平台全方位运营人才,150-200/天,天津,不限,本科,"['运营专员', '社群用户运营', '行业数据分析', '企业运营', '活动运营', '短视频运营', '数据分析']",北航投资有限公司,股份制企业 ,100-299人 ,天津
运营专员,5千-1万,天津,1-3年,大专,"['运营专员', '线上数据运营', '线上用户运营', '车辆运营', 'TO C', '数据分析']",天津钜川出行科技有限公司,民营 ,20-99人 ,天津
产品经理,1万-1.5万,天津-滨海新区,5-10年,本科,"['英语', '产品规划', '数据分析']",美克家居,上市公司 ,1000-9999人 ,天津
营销专员,7千-1万,天津-东丽,1-3年,本科,"['营销策划', '活动策划', '活动效果', '数据分析']",未来电视有限公司,国企 ,500-999人 ,天津
产品经理,1.5万-3万,天津-西青,5-10年,学历不限,"['需求分析', '产品规划', '数据分析', '市场调研']",天津科立尔科技有限公司,民营 ,20-99人 ,天津
通路行销主管,6千-9千,天津,5-10年,本科,"['品牌推广', '数据分析', '活动策划', '市场调研', '活动执行', '线下推广']",安纽希(天津)婴幼儿食品科技有限公司,民营 ,100-299人 ,天津
出纳文员,4千-5千,天津-西青,3-5年,大专,"['对账', '数据分析', '会计证']",水木拾年(天津)教育科技有限公司,民营 ,20-99人 ,天津
市场/产品经理,6千-1.2万,天津-武清,3-5年,大专,"['包装设计', '印刷广告设计', '网页设计', '平面设计', '全职', '产品设计', '数据分析', '产品规划']",天津华明乳业有限公司,民营 ,100-299人 ,天津
外贸运营专员,6千-1.2万,天津,1-3年,大专,"['阿里巴巴平台运营', '外贸社交软件', '办公软件', '运营专员', '社交平台', '数据分析', '运营经理']",天津维沃克企业管理咨询有限公司,民营 ,100-299人 ,天津
质量担当,4千-6千,天津-北辰,1-3年,大专,"['数据分析', '助理', '制造业']",天津万达轮胎有限公司,民营 ,1000-9999人 ,天津
行业研究专员,6千-8千,天津-西青,1-3年,本科,"['数据分析', '行业分析', '政府项目']",天津市软件行业协会,社会团体 ,20-99人 ,天津
产品经理,1.5万-2.5万,天津-武清,3-5年,本科,"['硬件产品', '物联网产品', '人工智能产品', '产品设计', '产品运营', '数据分析']",融科联创(天津)信息技术有限公司,民营 ,100-299人 ,天津
销售内勤文员,4千-5千,天津-武清,1-3年,本科,"['行政管理', '销售数据分析', '后勤管理', 'excel', '数据分析']",廊坊市高利贸易有限公司, ,20-99人 ,天津
中高级心理学研究员,8千-1.5万,天津-武清,3-5年,硕士,"['项目管理', '数据分析', 'SAAS产品', '产品设计', '产品规划', '用户研究']",天津六力心理咨询有限公司,上市公司 ,500-999人 ,天津
产品经理,1.2万-2万,天津-武清,1-3年,硕士,"['市场调研', '产品规划', '产品运营', '数据分析', '用户研究']",汉极(天津)生物科技有限公司,民营 ,100-299人 ,天津
商品经理,8千-1.5万,天津,3-5年,本科,"['数据分析', '买手', '零售行业']",天津力步贸易有限公司,上市公司 ,500-999人 ,天津
产品培训经理,5千-8千,天津,3-5年,本科,['数据分析'],天津大成热能科技有限公司,外商独资 ,20-99人 ,天津
labview软件工程师,8千-1.5万,天津-西青,3-5年,本科,['数据分析'],天津格特斯检测设备技术开发有限公司,民营 ,20-99人 ,天津
市场推广销售,6千-1万,天津,不限,学历不限,"['线下推广', '活动策划', '市场调研', '数据分析', '市场分析']",天津乐智未来教育科技有限公司,民营 ,20人以下 ,天津
5-8K行业百强公司运营专员,5千-8千,天津-和平,不限,本科,"['英语', '运营专员', '销售教据运营', '线上数据运营', '行业数据分析', '数据分析']",北京中瑞思文化发展有限公司,民营 ,20-99人 ,天津
达人运营,8千-1.1万,天津-西青,1-3年,本科,"['会员体系搭建经验', 'C端用户', '用户增长', '搜索引擎/平台', '社区平台', 'SQL', '数据分析']",法本信息,上市公司 ,1000-9999人 ,天津
英语精益运营文员（某世界500强）,6千-7千,天津-滨海新区,1-3年,本科,"['生产采购', '生产跟单', '数据分析', '计划精益', '质量管理', 'CET6', '英语可以作为工作语言', '项目跟进', '生产质检']",北京外企人力资源服务有限公司,国企 ,1000-9999人 ,天津
培训运营专员,6千-8千,天津-滨海新区,1-3年,本科,"['运营专员', '数据分析']",海思坦(天津)人力资源有限公司,民营 ,300-499人 ,天津
HR实习生,100-120/天,天津-南开,无经验,大专,"['数据分析', '招聘']",天津中天合信企业管理咨询有限公司,民营 ,20-99人 ,天津
英语供应链文员+免费班车+工作餐,6千-7千,天津-滨海新区,1-3年,本科,"['海外供应链', '订单管理', '质量管理', '数据整理', '数据分析', '精益', '生产计划', '跨部门沟通', '英语可作为工作语言']",北京外企人力资源服务有限公司,国企 ,1000-9999人 ,天津
数据管理,7千-1.3万,天津-西青,1-3年,本科,"['行业数据分析', '商业数据分析', '策略运营', '投放数据分析']",天津利安隆新材料股份有限公司,上市公司 ,1000-9999人 ,天津
数据支持(J10182),6千-9千,天津-和平,1-3年,大专,"['Power BI', '熟练掌握EXCEL工具', 'MYSQL语句']",天津老美华鞋店有限责任公司,民营 ,300-499人 ,天津
数据专员,8千-9千,天津-河西,1-3年,大专,"['经营数据分析', '数据采集', '数据监控', 'SPSS', 'SAS', '电商数据运营']",沂南县锦程酒店管理有限公司,民营 ,300-499人 ,天津
数据专员,6千-8千,天津-和平,1-3年,本科,"['销售数据运营', '经营数据分析']",易遨(天津)网络技术有限公司,民营 ,20-99人 ,天津
数据专员,4千-6千,天津-西青,1-3年,大专,"['数据统计', '数据汇总']",铸源健康,民营 ,300-499人 ,天津
数据支持,100-150/天,天津-西青,无经验,本科,"['数据整理', '模型', '空调制冷']",天津鲲飞环保科技有限公司,民营 ,20-99人 ,天津
数据科学家(J10759),1万-1.5万,天津-东丽,1-3年,本科,"['微生物工程', '酶工程']",凯莱英生命科学技术（天津）有限公司,合资 ,1000-9999人 ,天津
数据应用开发,1.4万-1.8万,天津-滨海新区,3-5年,本科,"['Kettle', 'SQL', 'MySQL', '数仓开发', '数据清洗', '数据开发']",湖南珊瑚信息技术有限公司,民营 ,100-299人 ,天津
电动车数据师,1万-1.5万,天津,3-5年,大专,"['UG', 'CAD', '结构设计', '机械设计', '设计师']",兰卡科技(天津)有限公司,民营 ,20人以下 ,天津
数据采集工程师,4千-7千,天津-红桥,不限,大专,[],拓尔思信息技术股份有限公司,上市公司 ,1000-9999人 ,天津
初级数据分析师,7千-1.2万,武汉-江夏,不限,本科,"['商业数据分析', '舆情分析']",北京笃信科技有限公司,其它 ,20-99人 ,武汉
数据分析师,8千-1.2万,武汉-江夏,不限,本科,"['数据分析', '大数据分析', '数据集市', '数据建模', '数据仓库', '商业数据分析']",武汉易晨创想科技有限公司,民营 ,20-99人 ,武汉
数据分析专员,6千-1万,武汉-汉阳,不限,大专,"['财务数据分析', '金融数据分析', '关联分析', '监控系统']",浙江然自芯环保科技有限公司,民营 ,100-299人 ,武汉
数据分析师,6千-1.2万,武汉-硚口,1-3年,本科,['数据分析'],中百集团,国企 ,10000人以上 ,武汉
数据分析师,7千-1.2万,武汉-江夏,不限,大专,['运营数据分析'],上海佩琪信息技术有限公司武汉分公司,民营 ,500-999人 ,武汉
数据分析师助理,7千-1.3万,武汉-江岸,不限,本科,"['Python', '机器学习', '金融数据分析']",北京笃信科技有限公司,其它 ,20-99人 ,武汉
数据分析师助理,8千-1.2万,武汉-江夏,1-3年,大专,['数据分析'],深圳市森迅科技有限公司,民营 ,100-299人 ,武汉
数据分析运营,8千-1万,武汉-江汉,1-3年,本科,"['数据分析', '商业数据分析', '运营', '运营商', '市场部', '运营数据分析', '行业分析', '销售数据分析']",亚信科技,民营 ,10000人以上 ,武汉
数据分析专员WH,7千-1万,武汉-江夏,不限,本科,"['Python', 'SQL', 'SPSS', '商业数据分析', '运营数据分析', '销售数据分析', '行业分析']",武汉泽鑫高科电气有限公司,民营 ,20-99人 ,武汉
经营管理专员——（经营数据分析）,8千-1万,武汉-江汉,1-3年,本科,"['经营数据分析', '销售数据运营', '市场分析']",北京华信杰通科技有限公司,民营 ,100-299人 ,武汉
数据分析师（武汉）,9千-1.2万,武汉-江汉,1-3年,本科,"['数据业务', '数据分析', '产品经理', '数据挖掘', '数据分析解决方案']",合力亿捷,上市公司 ,500-999人 ,武汉
数据分析师,1万-1.5万,武汉-硚口,1-3年,大专,"['运营数据分析', '销售数据分析']",武汉迈特波利健康咨询有限公司,民营 ,300-499人 ,武汉
数据分析师,7千-1.2万,武汉,不限,大专,"['运营数据分析', '用户数据分析']",武汉星空在线信息技术有限公司,民营 ,20-99人 ,武汉
数据分析助理,5千-9千,武汉-武昌,不限,大专,"['深度学习', '决策树', '神经网络', '行业分析', '运营数据分析', '商业数据分析']",北京京铭宏硕科技有限公司,民营 ,100-299人 ,武汉
数据分析师,5千-7千,武汉-洪山,不限,本科,"['SQL', 'Python', '机器学习', 'Tableau', 'SPSS']",武汉添之睿数据技术有限公司,民营 ,20-99人 ,武汉
保险内勤/数据分析,5千-7千,武汉-武昌,不限,本科,['保险内勤'],湖北保重保险代理有限公司,民营 ,100-299人 ,武汉
数据分析师,7千-9千,武汉-武昌,不限,大专,"['机器学习', '回归算法', '分类算法', '决策树', '神经网络', '关联分析', '协同过滤']",北京京铭宏硕科技有限公司,民营 ,100-299人 ,武汉
数据分析专员,5千-1万,武汉-洪山,1-3年,大专,"['运营数据分析', '销售数据分析', '金融数据分析', '风控数据分析', '商业数据分析']",武汉乐米惠商业管理有限公司,民营 ,20-99人 ,武汉
商务助理——（数据分析经验）,8千-1万,武汉-江汉,1-3年,本科,"['项目助理', '合同盖章', '报账管理', '数据分析', '市场分析']",北京华信杰通科技有限公司,民营 ,100-299人 ,武汉
数据分析师（用户运营）-岚图汽车,1万-2万,武汉,不限,大专,"['数据采集', '数据挖掘', '需求分析']",东风汽车,国企 ,10000人以上 ,武汉
数据分析师,7千-1.4万,武汉-洪山,不限,本科,"['Python', 'SQL', 'SPSS', '深度学习', '商业数据分析', '聚类算法', '回归算法', '销售数据分析']",深圳市易佰网络科技有限公司武汉分公司,民营 ,1000-9999人 ,武汉
商业数据分析师,1万-2万,武汉-江汉,1-3年,本科,"['线下零售', '管理咨询工作经验', '数学/统计学专业', 'SQL', 'Tableau']",牧原股份,上市公司 ,10000人以上 ,武汉
大数据分析助理,6千-1万,武汉-江汉,1-3年,大专,"['Java', 'Python', 'SQL', '大数据', '大数据分析', '云计算', '互联网']",贵州泓沥互联网数据服务有限公司,其它 ,100-299人 ,武汉
急招数据分析专员+五险一金+周末双休,7千-1万,武汉-江夏,1-3年,本科,"['SQL', 'Python', 'R语言', '销售数据分析', '运营数据分析', '数据报表', '统计学', '数据提取']",律正投资管理(上海)有限公司武汉分公司,民营 ,500-999人 ,武汉
数据挖掘分析师,4千-7千,武汉-江夏,1-3年,大专,"['Python', '计算机相关专业', '数据分析', '数据挖掘', '数学/统计相关专业']",武汉龙媒盛世网络有限公司,民营 ,20-99人 ,武汉
数据分析师,7千-1.3万,武汉-洪山,不限,本科,"['Python', 'SQL', '机器学习', '商业数据分析', '多元统计分析', '回归算法', '销售数据分析', '运营数据分析']",深圳市易佰网络科技有限公司武汉分公司,民营 ,1000-9999人 ,武汉
数据分析主管,1万-1.5万,武汉,不限,大专,"['销售业务数据', '统计学', '数据分析']",湖北绿楚帝科技有限公司,民营 ,100-299人 ,武汉
数据分析师课程武汉/培训招生,8千-1.2万,武汉-武昌,不限,大专,"['数据分析', 'Python', 'Java', '前端开发', 'WEB编程']",51Testing,民营 ,100-299人 ,武汉
大数据分析师,1万-1.3万,武汉-江岸,1-3年,本科,"['Python', '机器学习', '商业数据分析']",深圳市申河信息科技有限公司,民营 ,20-99人 ,武汉
数据分析（营销方向）-岚图汽车,1万-1.5万,武汉-蔡甸,3-5年,本科,['Python'],东风汽车,国企 ,10000人以上 ,武汉
金融数据分析,6千-1万,武汉-江夏,1年以下,高中,"['经济分析', '风险分析', '技术面分析', '基金数据分析', '期货数据分析', '银行数据分析', '理财数据分析', '期权数据分析', '互金数据分析', '投融资数据分析']",武汉承达信息咨询有限公司,其它 ,20-99人 ,武汉
数据分析实习生,120-150/天,武汉-江汉,无经验,本科,"['运营数据分析', '销售数据分析', '风控数据分析', '行业分析', 'SQL', 'Python']",亚信科技,民营 ,10000人以上 ,武汉
数据分析,9千-1万,武汉-洪山,不限,大专,"['SPSS', 'SAS']",上海佩琪信息技术有限公司武汉分公司,民营 ,500-999人 ,武汉
健康险数据分析岗/健康险数据分析岗/数据分析师/健康险控费岗,8千-1.2万,武汉,1-3年,本科,"['金融数据分析', '保险数据分析', '健康险数据分析', '运营数据分析']",泰康保险集团股份有限公司武汉后援基地,股份制企业 ,10000人以上 ,武汉
武汉数据分析师课程/培训招生,8千-1.2万,武汉-武昌,不限,大专,"['Python', 'SQL', 'Windows', 'Linux', 'MacOS', 'Oracle', '自动化测试']",51Testing,民营 ,100-299人 ,武汉
商品数据分析,6千-9千,武汉-江汉,1-3年,高中,[],武汉市婕希服饰设计有限公司,民营 ,100-299人 ,武汉
财务共享中心—运营分析岗（数据建模方向）,8千-1.2万,武汉-武昌,3-5年,本科,"['财务数据分析', 'SPT', 'SQL']",华润置地(武汉)数据咨询服务有限公司,国企 ,100-299人 ,武汉
大数据分析专员,7千-1万,武汉-江夏,3-5年,本科,"['行业分析', '金融数据分析']",湖北凯亿环保科技有限公司,民营 ,100-299人 ,武汉
会计转BI商业数据分析武汉,8千-1.2万,武汉-武昌,不限,大专,"['Java', '前端开发', '软件测试', '测试工程师', '全栈', 'Web前端']",51Testing,民营 ,100-299人 ,武汉
python数据分析师,1.2万-1.8万,武汉-江岸,3-5年,大专,"['Python', 'Java', 'SQL', 'MATLAB', '机器学习']",北京金之盾信息技术有限公司,股份制企业 ,100-299人 ,武汉
数据分析（含治理）工程师,9千-1.1万,武汉-武昌,1-3年,大专,"['数据治理', '3NF', '数据模型设计', 'PowerDesigner', 'ENTERPRISE', 'ARCHITECT', 'INFOSPHERE', 'SQL编程']",武汉敬思亭信息技术有限公司,民营 ,20-99人 ,武汉
急招数据分析专员/五险一金/13薪,7千-1万,武汉-江夏,3-5年,本科,['风控数据分析'],律正投资管理(上海)有限公司武汉分公司,民营 ,500-999人 ,武汉
薪酬数据分析专员,8千-1万,武汉-东湖高新区,3-5年,本科,"['薪酬福利', '薪酬核算', '薪酬设计', '薪酬分析', '薪酬预算']",高德红外,股份制企业 ,1000-9999人 ,武汉
数据分析师,1万-1.8万,武汉-东西湖,3-5年,本科,"['SQL', '数据产品分析', 'Power BI']",北京卓信智恒数据科技股份有限公司,上市公司 ,100-299人 ,武汉
高级数据分析师,1.5万-2.3万,武汉-洪山,5-10年,本科,['Python'],泰康在线,股份制企业 ,500-999人 ,武汉
数据统计分析员 业务跟单 内勤 文员 编辑,4千-7千,武汉-洪山,1年以下,大专,"['数据统计分析', '英语4级']",武汉市汇佳达科技有限公司,民营 ,20-99人 ,武汉
数据分析产品经理（武汉）,1.3万-1.8万,武汉-江汉,5-10年,本科,"['数据业务', '数据分析', '产品经理', '数据挖掘', '数据分析解决方案']",合力亿捷,上市公司 ,500-999人 ,武汉
数据分析主管,1.6万-1.8万,武汉-洪山,1-3年,本科,"['Python', 'SQL', 'Power BI', 'Stata']",兴盛优选,民营 ,10000人以上 ,武汉
数据分析员,100-150/天,武汉-洪山,无经验,本科,"['财务数据分析', '销售数据分析']",湖北尤加新能源科技有限公司,民营 ,500-999人 ,武汉
大数据分析师,1.1万-1.5万,武汉-洪山,3-5年,本科,"['Python', 'SPSS', 'SAS', '机器学习', '深度学习']",吉林市合晟商务服务有限责任公司,民营 ,20-99人 ,武汉
商业数据分析,1.8万-2万,武汉,1-3年,本科,['项目型产品'],乐学互娱(武汉)科技有限公司,民营 ,1000-9999人 ,武汉
临床数据统计分析员,8千-1.1万,武汉-洪山,3-5年,本科,['统计分析'],武汉宏韧生物医药股份有限公司,民营 ,500-999人 ,武汉
贷后策略与数据分析高级经理,2万-3万,武汉-江岸,5-10年,本科,[],华道数据处理(苏州)有限公司北京分公司,民营 ,1000-9999人 ,武汉
商业数据分析（新赛道+在线教育+前景好）,2万-2.5万,武汉-江夏,不限,本科,"['经营分析', '全盘业务分析']",乐学互娱(武汉)科技有限公司,民营 ,1000-9999人 ,武汉
需求分析师（数据治理方向）,1.8万-3万,武汉-武昌,3-5年,本科,"['原型设计', 'Axure', '电力项目']",东华软件股份公司,上市公司 ,1000-9999人 ,武汉
高级人力资源专员（人力资源数据分析）,7千-1万,武汉-江夏,3-5年,本科,"['行业分析', '多元统计分析', '关联分析', '降维分析', 'ROC分析']",高德红外,股份制企业 ,1000-9999人 ,武汉
数据分析负责人（商业分析/经营分析）,2万-2.5万,武汉-江夏,3-5年,本科,"['商业分析', '线上教育', '电商', '投放分析', '销售分析', '业务增长分析', '全盘分析', '美团/淘宝/拼多多']",乐学互娱(武汉)科技有限公司,民营 ,1000-9999人 ,武汉
工程监理转Python大数据分析武汉,8千-1.2万,武汉-武昌,不限,大专,"['PYTHON大数据', 'Java', '测试工程师', '软件测试', 'Web前端', '程序员', '前端开发', '全栈']",51Testing,民营 ,100-299人 ,武汉
动力电池大数据应用分析-岚图汽车,2.5万-3.5万,武汉,5-10年,本科,['数据统计分析'],东风汽车,国企 ,10000人以上 ,武汉
数据分析师,8千-1.3万,武汉-汉阳,不限,本科,"['商业数据分析', '金融数据分析', '财务数据分析']",河南云数大数据科技有限公司,民营 ,20-99人 ,武汉
数据分析师,7千-1.4万,武汉-武昌,不限,本科,['运营数据分析'],天津佩能能源科技发展有限公司,民营 ,20-99人 ,武汉
数据分析工程师（中级）,1万-1.5万,武汉-武昌,1-3年,大专,"['SQL', 'Shell', 'Python', 'Informatica']",深圳硕心企业管理顾问有限公司,民营 ,20-99人 ,武汉
大数据分析师,9千-1.5万,武汉-江岸,5-10年,本科,"['SQL', '金融数据分析', 'BI', '政务数据分析', '数据建模', 'Python', 'Shell']",武汉安桢瑞网络科技有限公司,民营 ,20-99人 ,武汉
数据分析专员（路特斯+双休+入职五险一金）,5千-6千,武汉-汉阳,1-3年,大专,"['电商数据运营', 'excel', 'Python', 'MySQL', '商业数据分析']",北京外企人力资源服务湖北有限公司,国企 ,500-999人 ,武汉
信贷数据分析+统本学信可查,1.3万-1.5万,武汉-江汉,3-5年,本科,"['银行数据分析', '信托数据分析', '贷款数据分析', '信用数据分析', '风险分析', 'SQL', 'Python', 'BI智能工具']",法本信息,上市公司 ,1000-9999人 ,武汉
大数据开发（大数据分析方向）,1.5万-3万,武汉-蔡甸,3-5年,本科,"['大数据开发', '数据分析', '大数据分析']",智联猎头,其它 ,1000-9999人 ,武汉
直播带货数据分析及策略运营(J10215),5千-1万,武汉-江夏,1-3年,本科,"['直播平台', '数据运营', '策略运营']",腾讯云雀(天津)信息技术有限公司,民营 ,1000-9999人 ,武汉
数据分析（B端）+贷前/贷中 +统本学信可查,1.3万-1.5万,武汉-江汉,5-10年,本科,"['Python', 'SQL', '风控数据分析', 'excel']",法本信息,上市公司 ,1000-9999人 ,武汉
业务分析师 （数据治理）,1.5万-3万,武汉-武昌,5-10年,本科,['Hadoop'],智联猎头,其它 ,1000-9999人 ,武汉
大数据挖掘开发工程师-商用车技术中心,2万-2.5万,武汉-蔡甸,3-5年,本科,"['数据挖掘', '数仓开发', '数据平台', 'Hadoop', 'Spark', 'MySQL', 'HBase', '数据建模']",东风汽车,国企 ,10000人以上 ,武汉
数据分析岗位（信贷）,1.2万-1.5万,武汉-江汉,3-5年,本科,"['贷款数据分析', '信托数据分析', 'Python', 'SQL']",法本信息,上市公司 ,1000-9999人 ,武汉
自动驾驶云平台数据挖掘工程师,2万-4万,武汉-洪山,1-3年,本科,['Python'],智联猎头,其它 ,1000-9999人 ,武汉
消保策略分析岗,8千-1.5万,武汉-江汉,1-3年,本科,"['Python', 'SQL', 'SAS', '金融数据分析', '风控数据分析']",深圳市橙信发展有限公司,民营 ,10000人以上 ,武汉
大数据开发工程师(无需经验),5千-1万,武汉,无经验,本科,"['数仓开发', '数据治理', 'Shell', 'Hadoop', 'Hive', 'Spark', 'ETL开发', '数据中台']",武汉大工尹科技发展有限公司,民营 ,20-99人 ,武汉
子公司经营分析岗,5千-7千,武汉-江岸,1-3年,本科,"['运营数据分析', '销售数据分析']",湖北省粮油食品进出口集团有限公司,国企 ,1000-9999人 ,武汉
2024年校园招聘大数据,9千-1万,武汉-武昌,无经验,本科,"['Java', '报表开发', '数据平台', '数据运维']",泰康人寿湖北分公司,民营 ,10000人以上 ,武汉
大数据工程师,8千-1.6万,武汉-洪山,1-3年,大专,['Hadoop'],武汉三佳医疗信息技术有限公司,民营 ,100-299人 ,武汉
【快手】经营分析,8千-1.2万,武汉-洪山,1-3年,本科,"['SQL', '社区类产品']",北京达佳互联信息技术有限公司,上市公司 ,10000人以上 ,武汉
数据审查专员,3千-4千,武汉-汉阳,1年以下,本科,['判别分析'],克沃斯(北京)信息技术有限公司,民营 ,20-99人 ,武汉
数据统计专员(J11100),9千-1.5万,武汉-武昌,无经验,硕士,['临床数据分析'],武汉启瑞药业,民营 ,1000-9999人 ,武汉
产品数据管理员,6千-8千,武汉-洪山,1-3年,大专,[],武汉博欧特生物科技有限公司,民营 ,20人以下 ,武汉
数据开发工程师（武汉）,8千-1.5万,武汉-武昌,1-3年,本科,"['数据挖掘', '数据治理', '数仓开发', 'SQL Server', 'MySQL', 'Oracle', '数据中台']",佰聆数据股份有限公司,民营 ,500-999人 ,武汉
数据处理工程师,8千-1.5万,武汉-江夏,3-5年,本科,"['Python', '运营数据分析']",芯云道数据科技,民营 ,20-99人 ,武汉
数据开发岗,1.5万-2.5万,武汉-洪山,不限,本科,"['数据治理', '数据挖掘', '报表开发', '数仓开发', '数据建模', '数据集市', '数据运维', 'Java']",招商证券股份有限公司,股份制企业 ,1000-9999人 ,武汉
大数据开发岗,6千-7千,武汉-江岸,不限,本科,['“护航员”计划'],湖北农发畜牧集团有限公司,国企 ,1000-9999人 ,武汉
数据工程师(J20537),1.1万-1.8万,武汉-洪山,3-5年,大专,['Python'],武汉药明康德新药开发有限公司,上市公司 ,1000-9999人 ,武汉
数据开发工程师,8千-1.2万,武汉-蔡甸,5-10年,学历不限,"['数据建模', 'Hadoop', 'Hive', 'Oracle', 'HBase', 'SQL Server']",武汉盛典网络科技有限公司,民营 ,20-99人 ,武汉
经营分析经理(J24296),1.2万-1.5万,武汉-江汉,5-10年,本科,['经营分析'],中国长江航运集团有限公司,国企 ,10000人以上 ,武汉
数据治理工程师,8千-1.5万,武汉-洪山,1-3年,大专,"['数据治理', '质量管理', '主数据管理', '元数据管理', '大数据']",北京天恒昕业科技发展有限公司,民营 ,100-299人 ,武汉
数据研发-驻点国网-武汉-交六险一金,1.2万-1.7万,武汉-洪山,3-5年,本科,"['数据开发', '阿里云', '国网']",厦门至恒融兴信息技术股份有限公司,民营 ,1000-9999人 ,武汉
数据开发工程师,1万-1.5万,武汉-洪山,3-5年,本科,"['Python', 'Java', 'Shell']",武汉众信开云科技有限责任公司, ,20-99人 ,武汉
大数据实习生,2千-3千,武汉-洪山,无经验,大专,"['Java', 'Python']",武汉佰钧成技术有限责任公司,民营 ,1000-9999人 ,武汉
数据开发实习生-武汉-24届,150-160/天,武汉-东西湖,无经验,本科,"['Oracle', 'MySQL']",博彦科技,上市公司 ,10000人以上 ,武汉
数据工程师,1.5万-2万,武汉-武昌,1-3年,本科,"['数据治理', '数据运维', '数据建模', '数据平台']",东华软件股份公司,上市公司 ,1000-9999人 ,武汉
数据开发/数据支撑（国家电网）,1.5万-2.2万,武汉-洪山,3-5年,本科,"['数据运维', '数仓开发', 'SQL Server', '电网']",厦门至恒融兴信息技术股份有限公司,民营 ,1000-9999人 ,武汉
数据治理实施工程师,7千-1.2万,武汉-江汉,1-3年,本科,"['数据治理', '报表开发', '数据建模', '数据中台', '大数据实施', '大数据交付']",华信永道,上市公司 ,500-999人 ,武汉
大数据工程师,5千-7千,武汉-江汉,1-3年,大专,"['Java', 'Python', '数据运维', '数仓开发']",嘉环科技股份有限公司,民营 ,1000-9999人 ,武汉
大数据开发（远程面试+六险一金+大厂）,1.5万-3万,武汉-东西湖,3-5年,大专,"['Hive', 'Hadoop', 'Flink', 'ETL开发']",深圳建广数字科技有限公司青岛分公司,民营 ,1000-9999人 ,武汉
数据库开发,7千-1.3万,武汉,1-3年,大专,['Python'],湖北融汇信息科技有限公司,民营 ,100-299人 ,武汉
数据开发工程师,9千-1.4万,武汉-武昌,3-5年,大专,"['H5前端网页', 'NETFLIX', 'SPRINGCLOUD', 'VUE/REACT', '小程序前端', 'Java', 'Oracle', 'MySQL']",武汉敬思亭信息技术有限公司,民营 ,20-99人 ,武汉
软件工程师（数据库开发）,7千-1.4万,武汉,1-3年,大专,"['数据库', '数据库开发', 'C++', 'SQLServer', 'Oracle']",武汉铭科轨道交通装备有限公司,民营 ,100-299人 ,武汉
客服运营分析岗,1.5万-2.2万,武汉-武昌,5-10年,大专,"['SQL', '客服数据分析', '数据体系搭建', '数据工具产品建设']",京东集团,合资 ,10000人以上 ,武汉
数据开发（含算法）工程师,9千-1.3万,武汉-武昌,1-3年,大专,"['Python', 'Shell', 'SQL', 'Informatica', 'ETL工具', 'ETL开发', '云计算', '数据中台']",武汉敬思亭信息技术有限公司,民营 ,20-99人 ,武汉
