职位名称,薪资范围,地点,工作经验,学历要求,岗位标签,公司名称,公司类型,公司规模,city
证券分析,8千-1.6万,成都-武侯,3-5年,本科,"['股票市场', '投资分析', '证券从业资格证', '基金从业资格证', '证券投资咨询资格证', '证券分析师资格证']",恒泰证券股份有限公司,股份制企业 ,1000-9999人 ,成都
数据治理专家（成都）,2.5万-3万,成都-龙泉驿,5-10年,本科,['数据治理专家'],中创新航科技集团股份有限公司,国企 ,10000人以上 ,成都
数据开发,1.2万-2万,成都-武侯,3-5年,本科,"['Python', 'ETL开发', 'Power BI', 'Tableau']",成都信必优信息技术有限公司,合资 ,1000-9999人 ,成都
分析师,1万-2万,成都-武侯,1-3年,硕士,"['债券评级', '风险分析', '债券市场', '大消费']",中证鹏元资信评估股份有限公司,民营 ,300-499人 ,成都
空间大数据实习生,150-200/天,成都-武侯,无经验,硕士,"['数据挖掘', 'GIS', 'WEBGIS', 'Python', 'Java']",易智瑞信息技术有限公司,民营 ,300-499人 ,成都
中高级大数据开发工程师,1.8万-2.5万,成都-武侯,3-5年,本科,"['Java', '数据清洗', 'Python', 'Scala', 'Shell', 'SQL', 'Hadoop', 'Hive', 'Spark', 'DOLPHINSCHEDULER', 'K8s']",东联信息技术有限公司,民营 ,100-299人 ,成都
数据开发（成都、银行项目）,1万-1.5万,成都-金牛,3-5年,本科,"['数据治理', 'ETL开发', '报表开发', 'Hadoop', 'Hive', 'SMART BI']",长亮科技,上市公司 ,1000-9999人 ,成都
Senior Data Team Lead 临床数据管理,3万-5万,成都-锦江,10年以上,本科,['CRO'],艾昆纬医药科技(上海)有限公司,外商独资 ,10000人以上 ,成都
大数据工程师,1.2万-1.8万,成都-郫都,3-5年,本科,"['Java', 'Python']",软通动力信息技术(集团)股份有限公司,民营 ,10000人以上 ,成都
股票分析师,4千-5千,成都-青羊,3-5年,大专,"['金融业', '基本面分析', '投资分析', '宏观经济分析', '行业分析', '技术面分析']",成都贝丰投资管理有限公司,民营 ,20-99人 ,成都
数据开发工程师（需有银行项目经验）,1.3万-1.4万,成都-青羊,3-5年,本科,"['报表开发', 'ETL开发']",成都迈思信息技术有限公司,民营 ,1000-9999人 ,成都
大数据工程师,1.1万-1.6万,成都-武侯,3-5年,本科,"['Java', 'Hadoop', 'Shell', 'ETL开发', 'Spark', 'Hive']",软通动力信息技术(集团)股份有限公司,民营 ,10000人以上 ,成都
数据治理工程师,1.3万-2.5万,成都,5-10年,本科,"['数据治理', '数据分析', '大数据开发']",成都市永力创科技有限公司,民营 ,20-99人 ,成都
信用评级分析师,1万-1.5万,成都-金牛,1-3年,硕士,"['投资分析', '风险分析', '量化分析']",大普信用评级股份有限公司,民营 ,20-99人 ,成都
数据治理工程师,2万-3万,成都-武侯,5-10年,本科,['数据治理'],深圳建广数字科技有限公司青岛分公司,民营 ,1000-9999人 ,成都
大数据开发工程师（面向全国，可兼职）,1.5万-3万,成都-武侯,3-5年,大专,"['数据挖掘', 'Python']",四川千正科技有限责任公司,股份制企业 ,100-299人 ,成都
大数据开发工程师,1万-1.4万,成都-锦江,3-5年,本科,"['Spark', 'Flink', 'Hadoop', 'Hive', 'SLOR HIVE', 'Elasticsearch', 'ETL开发']",京北方,民营 ,10000人以上 ,成都
安全分析工程师,1.5万-2.2万,成都-武侯,3-5年,本科,['Python'],彀中科技(北京)有限公司,民营 ,20-99人 ,成都
大数据研究员（住建方向，项目奖金）,1万-2万,成都-武侯,1-3年,硕士,"['SPSS', 'Stata', 'MATLAB', 'SQL', '经济学', '统计学']",成都松祥科技有限公司,民营 ,20-99人 ,成都
证券实盘指导/证券分析,1万-2万,成都-金牛,1-3年,本科,"['行业分析', '技术面分析', '基本面分析', '投资分析', '量化分析', '证券从业资格证', '股票市场', '证券投资咨询资格证']",四川大决策证券投资顾问有限公司,民营 ,300-499人 ,成都
大数据开发工程师,1.2万-2.4万,成都-锦江,3-5年,本科,"['ETL开发', '数据建模', 'Hadoop', 'Hive', 'Spark']",上海理想集团公司,国企 ,100-299人 ,成都
临床数据经理（初中高级）CDM-成都,1.5万-2万,成都-武侯,3-5年,本科,['临床试验'],百利药业,民营 ,1000-9999人 ,成都
技术开发（大数据）,1.5万-2万,成都-武侯,5-10年,本科,"['Scala', 'Hadoop', 'Hive', 'Spark', 'Oracle', 'MySQL', 'HBase']",华润雪花,国企 ,10000人以上 ,成都
大数据工程师(银行),1万-1.4万,成都-双流,3-5年,本科,"['Hadoop', 'Flink', 'Scala']",京北方,民营 ,10000人以上 ,成都
股票直播分析师20-30K,1.5万-3万,成都-武侯,3-5年,本科,"['股票市场', '投资分析', '证券投资顾问']",北京中富金石咨询有限公司四川分公司,民营 ,100-299人 ,成都
大数据开发工程师(AF-CD)(J10572),1.5万-3万,成都,5-10年,本科,"['数据治理', '数据挖掘', 'ETL开发', '数仓开发', '数据建模', 'Python', 'Java', 'Hadoop']",中电科网络安全科技股份有限公司,上市公司 ,1000-9999人 ,成都
临床试验数据统计师,1.8万-3.5万,成都,1-3年,硕士,"['数据统计分析', '临床试验']",诺思格(北京)医药科技股份有限公司,合资 ,1000-9999人 ,成都
分析师（实习）,150-200/天,成都-武侯,无经验,硕士,"['风险分析', 'CFA', 'FRM', '证券分析', '证券从业资格证']",中证鹏元资信评估股份有限公司,民营 ,300-499人 ,成都
数据专员,4千-8千,成都,不限,中专/中技,['数据整理、客户维护'],温江小冯房地产中介服务部,民营 ,1000-9999人 ,成都
开源数据（劳务派遣） (MJ000494),1.5万-2.1万,成都-武侯,3-5年,本科,['开源数据'],中国网安,国企 ,1000-9999人 ,成都
高薪+金融分析师+双休,1万-2万,成都-锦江,1-3年,本科,"['基本面研究', '政策研究', '企业研究', '经济研究', '技术面研究', '期货研究', '期货从业资格证', '期货投资分析资格证']",前海期货有限公司四川分公司,其它 ,20-99人 ,成都
财经主播/证券分析师,3万-4万,成都-武侯,不限,学历不限,"['股票市场', '投资分析', '基本面分析', '技术面分析', '证券投资咨询资格证', '证券从业资格证', '证券分析师资格证', '金融主播']",成都善察新媒体发展有限公司,民营 ,20人以下 ,成都
数据治理工程师,1.5万-2万,成都-武侯,3-5年,本科,"['数据治理', '数据挖掘', '数据运维', '数据湖', '实时数仓', '数据中台', 'Hadoop', 'Hive', 'Spark', 'Kafka']",北京赛博信通科技有限公司,民营 ,20-99人 ,成都
大数据研究员（住建方向，项目奖金）,1万-2万,成都-武侯,1-3年,硕士,"['SPSS', 'Stata', 'MATLAB', 'SQL', '经济学', '统计学']",成都松祥科技有限公司,民营 ,20-99人 ,成都
临床数据库工程师（成都DBD）,8千-1.5万,成都-武侯,1-3年,本科,"['医学', '英语', 'SAS', 'SQL', '数据建模', 'Python', '数据库构建', '生物统计学']",百利药业,民营 ,1000-9999人 ,成都
期货分析师,8千-1.5万,成都-锦江,1-3年,本科,"['期货研究', '互联网金融研究', '基本面研究', '期货从业资格证', '期货分析资格证']",前海期货有限公司四川分公司,其它 ,20-99人 ,成都
财经主播/证券分析师,3万-4万,成都-武侯,不限,学历不限,"['股票市场', '投资分析', '基本面分析', '技术面分析', '证券投资咨询资格证', '证券从业资格证', '证券分析师资格证', '金融主播']",成都善察新媒体发展有限公司,民营 ,20人以下 ,成都
客源数据梳理专员,4千-8千,成都-武侯,不限,学历不限,[],四川全民优居房地产经纪有限公司, ,100-299人 ,成都
软件工程师（大数据方向）,1.1万-2.2万,成都-武侯,3-5年,本科,"['数据平台', '数据治理']",辽宁艾特斯智能交通技术有限公司,国企 ,100-299人 ,成都
证券投资分析//APP投顾,8千-1.5万,成都-金牛,3-5年,本科,"['股票市场', '投资分析', '基本面分析', '技术面分析', '证券投资咨询资格证', '证券分析师资格证']",四川大决策证券投资顾问有限公司,民营 ,300-499人 ,成都
数据安全治理研发工程师 (MJ000493),1.5万-2.1万,成都-武侯,3-5年,本科,['Java'],中国网安,国企 ,1000-9999人 ,成都
