岗位名称,薪资,工作地点,工作经验,学历要求,企业,岗位需求,公司类型,岗位需求人数,企业服务
武汉地铁站内文员7000包吃住,6千-1.2万,武汉·江岸,经验不限,学历不限,广州泰通信息技术服务有限公司,,资料管理,100-299人,人工智能
普工/操作工（做六休一）,7千-8千,武汉·江夏·藏龙岛,无经验,学历不限,深圳概念企业管理顾问有限公司,"社会保险, 恒温车间, 包住, 月休四天, 长白班, 做六休一, , , , , ",其它,1000-9999人,仪器仪表制造
招普工/操作工-月入7000,6千-7千,武汉·江夏·纸坊,经验不限,初中及以下,武汉创之美人力资源开发有限公司,"两班倒, 月结, 包装工, 组装工, 检验员, 普工",操作工,20人以下,人力资源服务
武汉地铁站内文员7000包吃住,6千-1.2万,武汉·江汉,经验不限,学历不限,广州泰通信息技术服务有限公司,,内勤,100-299人,人工智能
专职保洁,2千-3千,武汉·江夏·豹澥,1-3年,学历不限,武汉禾富信科技有限公司,,民营,20-99人,人工智能
智能外呼系统朝九晚六纯网销,1万-2万,武汉·江夏·关东,经验不限,学历不限,武汉黑话筒智能机器人有限公司,,企业客户,个人客户,通信/网络设备
武汉地铁站内文员7000包吃住,6千-1.2万,武汉·东西湖·金银湖,经验不限,学历不限,广州泰通信息技术服务有限公司,,后勤管理,100-299人,人工智能
线上数学AI审核,15-25元/时,武汉·洪山·珞南,经验不限,大专,郑州琢题文化传媒有限公司,兼职,股份制企业,20人以下,培训/辅导服务
网络销售,9千-1.6万·14薪,武汉·江夏·关东,无经验,学历不限,武汉泽傲逸电子商务有限公司,"互联网, 快消品, 房地产, 汽车行业, 金融业, 生活服务, , , , , ",其它,20-99人,电子商务
地铁便利店登记7k（包吃住上二休一）,6千-1.2万,武汉·江岸,经验不限,学历不限,广州泰通信息技术服务有限公司,,信息录入,100-299人,人工智能
课程顾问,5千-1万,武汉·洪山·关山,1-3年,大专,武汉聚融易网络科技有限公司,"五险一金, 节日福利, 带薪培训",股份制企业,20-99人,培训/辅导服务
AI创业合伙人,2.5万-5万,武汉·江岸,经验不限,学历不限,中垵(北京)数据科技发展有限公司,"联合创始人, 投资合伙人, 民营, 20-99人",人工智能,联合创始人,人工智能
轻松坐岗安检员包吃住250一天,6千-7千,武汉·蔡甸·军山,经验不限,学历不限,广州泰通信息技术服务有限公司,"包吃包住, 五险一金, 就近分配, 免费工装, 加班补贴",上二休一,100-299人,人工智能
课程电销,8千-1.5万,武汉·硚口·古田,经验不限,学历不限,松鼠云上人工智能科技(湖北)有限公司,"个人客户, 民营, 100-299人",培训/辅导服务,个人客户,培训/辅导服务
工资有点高 AI销售岗(to b+可小白+双休),1.3万-2.6万,武汉·江夏·关东,经验不限,大专,探迹科技,"企业客户, 电话销售, 面销/陌拜, 渠道销售, 软件销售, BD, ",民营,1000-9999人,互联网
7k地铁坐班营业员包食宿可小白,6千-7千,武汉·武昌,经验不限,学历不限,广州泰通信息技术服务有限公司,"包吃包住, 五险一金, 就近分配, 上二休一, 免费培训",免费工装,100-299人,人工智能
联合创始人,3万-6万,武汉·江岸,经验不限,学历不限,中垵(北京)数据科技发展有限公司,"联合创始人, 投资合伙人, 民营, 20-99人",人工智能,联合创始人,人工智能
ai外呼系统高薪高提点网络销售,1万-2万,武汉·江夏·关东,经验不限,学历不限,武汉黑话筒智能机器人有限公司,,企业客户,个人客户,通信/网络设备
武汉地铁站内文员7000包吃住,6千-1万,武汉·硚口·宗关,经验不限,学历不限,广州泰通信息技术服务有限公司,,后勤管理,100-299人,人工智能
企业管理咨询,6千-1.2万,武汉·东西湖·将军路,经验不限,大专,武汉市心智力教育科技有限公司,"咨询专员/助理, 咨询经理/主管, 电话咨询",民营,20人以下,企业服务
【匠工场】活动运营活动执行,1万-2万元/月,武汉·硚口·汉正,经验不限,大专,北京匠工场文化传播有限公司,"线下活动, 社群活动, 文娱活动, 公益活动, 商业活动, 校园活动",民营,20-99人,IT服务
月7K包吃住后勤（上二休一）,6千-1.2万,武汉·江汉,经验不限,学历不限,广州泰通信息技术服务有限公司,,内勤管理,100-299人,人工智能
双休+早十晚七+数据标注,7千-9千,武汉·蔡甸·沌口,经验不限,大专,首聘(北京)科技有限公司,图像标注,民营,1000-9999人,企业服务
坐班电话邀约专员5k以上,5千-7千,武汉·东西湖·将军路,经验不限,大专,武汉市心智力教育科技有限公司,"电话客服, 声音有亲和力",民营,20人以下,企业服务
武汉双休地铁检查员包吃住7k,6千-7千,武汉·汉阳,经验不限,学历不限,广州泰通信息技术服务有限公司,"包吃包住, 五险一金, 就近分配, 免费工装, 加班补贴, 无需经验",,100-299人,人工智能
销售顾问,5千-1万,武汉·洪山·珞南,经验不限,学历不限,武汉市易呼通信技术有限公司,"电话销售, 网络销售",渠道销售,20-99人,通信/网络设备
AI智能系统销售代表前景好出单快,1.5万-3万,武汉·江夏·关东,经验不限,中专/中技,武汉同创蓝天科技有限公司,,企业客户,个人客户,互联网
7k武汉地铁安检员包食宿有社保,6千-7千,武汉·汉阳·建桥,经验不限,学历不限,广州泰通信息技术服务有限公司,"包吃包住, 五险一金, 就近分配, 免费工装, 加班补贴",上二休一,100-299人,人工智能
纯电销岗，无责底薪6000，汉口，不加班,8千-1.3万,武汉·江汉·汉兴街,经验不限,大专,武汉鼎森电子科技有限公司,"KA大客户, 政府客户, 院校客户, 不加班",民营,100-299人,互联网
招生老师,6千-1.2万,武汉·洪山·关山,1-3年,大专,武汉聚融易网络科技有限公司,"培训机构, 带薪培训, 通讯补贴, 交通补贴, 节日福利, 五险一金",股份制企业,20-99人,培训/辅导服务
周结/月薪6000/轻轨进站安检看监控,6千-8千,武汉·江岸,经验不限,学历不限,广州泰通信息技术服务有限公司,"全白班, 包吃包住, 五险一金, 就近分配, 加班补贴, 免费工装, , ",,100-299人,人工智能
AIGC大客户销售（提供资源+五险一金）,8千-1.5万,武汉·江汉,经验不限,大专,武汉鼎森电子科技有限公司,"渠道销售, 面销/陌拜, 区域销售",民营,100-299人,互联网
办公室标注岗位+五险一金无销售性质,4千-6千,武汉·蔡甸·沌口,1年以下,大专,首聘(北京)科技有限公司,"语音标注, 音频标注, 图像标注, 视频标注, 文本标注, 五险一金, ",民营,1000-9999人,企业服务
武汉地铁安检180/元 可短期,5千-8千,武汉·汉阳,经验不限,学历不限,广州泰通信息技术服务有限公司,"倒班制, 包吃包住, 五险一金, 就近分配, 免费工装",加班补贴,100-299人,人工智能
大客户销售，汉口，不加班，无责底薪6000,8千-1.3万,武汉·江汉·汉兴街,经验不限,大专,武汉鼎森电子科技有限公司,"KA大客户, 政府客户, 院校客户, 不加班",民营,100-299人,互联网
5K起计算机助理/双休,6千-8千,武汉·洪山·关山,经验不限,高中,武汉横波科技有限公司,20-99人,互联网,20-99人,互联网
武汉地铁后勤7000（上二休一）,6千-1.2万,武汉·东西湖·金银湖,经验不限,学历不限,广州泰通信息技术服务有限公司,,内勤管理,100-299人,人工智能
电话邀约员,6千-1万,武汉·江岸,经验不限,学历不限,建银华盛集团,,销售专员,个人客户（2C）,汽车研发/制造
网络销售（政企图书馆方向）无责底薪6000,8千-1.3万,武汉·江汉·汉兴街,经验不限,大专,武汉鼎森电子科技有限公司,"KA大客户, 政府客户, 院校客户, 不加班",民营,100-299人,互联网
武汉地铁后勤7000（上二休一）,6千-1.2万,武汉·江汉,经验不限,学历不限,广州泰通信息技术服务有限公司,,内勤管理,100-299人,人工智能
高薪计算机助理/五险一金,6千-8千,武汉·洪山·关山,无经验,高中,武汉横波科技有限公司,20-99人,互联网,20-99人,互联网
招聘普工/操作工-商业保险/有餐补,5千-7千,武汉·江夏·纸坊,经验不限,初中及以下,武汉翰德智信人力资源外包服务有限公司洪山分公司,"厂内食堂, 恒温车间, 包住, 做六休一, 月结, 包装工, 组装工, ",民营,100-299人,人力资源服务
月7K包吃住后勤（上二休一）,6千-1.2万,武汉·东西湖·将军路,无经验,学历不限,广州泰通信息技术服务有限公司,,内勤管理,100-299人,人工智能
数据标注员五险一金周末双休,6千-1万,武汉·蔡甸·沌口,经验不限,大专,安徽汇颂人力资源有限公司,"图像标注, 语音标注, 音频标注, 文本标注, 视频标注",股份制企业,100-299人,人力资源服务
AI软件销售(双休+tob顾问+餐补+五险一金）,1.3万-2.6万,武汉·江夏·关东,经验不限,大专,探迹科技,"面销/陌拜, 电话销售, 软件销售, BD, 渠道代表",民营,1000-9999人,互联网
上二休一武汉地铁营业员包吃住7000,6千-7千,武汉·武昌,经验不限,学历不限,广州泰通信息技术服务有限公司,"包吃包住, 五险一金, 就近分配, 加班补贴, 免费工装, 上二休一",,100-299人,人工智能
服装销售大客户+五险一金+综合10K以上,1万-1.5万,武汉·武昌,经验不限,大专,内蒙古杰森人力资源有限公司,"渠道销售, 会议/会展销售, 政府关系, ka",民营,100-299人,人力资源服务
业务员,9千-1.2万,武汉·洪山·梨园,1年以下,大专,武汉锐扬机电工程有限公司,,互联网行业,人工智能,电气机械/电力设备
看监控坐岗/180天,4千-7千,武汉·洪山·九峰,无经验,学历不限,广州泰通信息技术服务有限公司,"倒班制, 包吃包住, 五险一金, 就近分配, 加班补贴",免费工装,100-299人,人工智能
电话销售/to b/接受小白/超高提成/均薪15k以上,8千-1.2万,武汉·江夏·关东,经验不限,大专,探迹科技,企业客户,民营,1000-9999人,互联网
企业管理咨询顾问,6千-1.2万,武汉·东西湖·将军路,无经验,大专,武汉市心智力教育科技有限公司,"企业战略咨询, 咨询专员/助理",民营,20人以下,企业服务
月7K包吃住后勤（上二休一）,6千-1.2万,武汉·江岸,经验不限,学历不限,广州泰通信息技术服务有限公司,,内勤管理,100-299人,人工智能
数据标注/标注主管+双休+五险一金,6千-8千,武汉·蔡甸·沌口,经验不限,大专,首聘(北京)科技有限公司,"文本标注, 语音标注, 数据标注",民营,1000-9999人,企业服务
不招生-不授课-线上班主任-包吃,8千-1.3万,武汉·洪山·关山,经验不限,大专,核桃编程,"小学教育, 电话销售, 网络销售, 在线教育平台, 五险一金, , , , ",民营,1000-9999人,计算机软件
武汉上二休一地铁扫描员（包食宿）五险,6千-7千,武汉·江汉,经验不限,学历不限,广州泰通信息技术服务有限公司,"包吃包住, 五险一金, 就近分配, 免费工装, 加班补贴",上二休一,100-299人,人工智能
QC质检员,6千-1万,武汉·硚口·六角亭,经验不限,大专,上海目柏机电有限公司,制程检验（IPQC）,成品检验（FQC）,20-99人,人工智能
行业销售经理（武汉）,8千-1.5万,武汉·东西湖·径河,1-3年,高中,福建孚诺泰环保设备有限公司,"人工智能, 新能源, 民营, 1000-9999人",环保,人工智能,环保
武汉地铁站点文员登记7000包吃住,6千-1.2万,武汉·江岸,经验不限,学历不限,广州泰通信息技术服务有限公司,,后勤管理,100-299人,人工智能
toB双休ai智能销售/当月发薪/可小白,1万-1.5万,武汉·江夏·关东,经验不限,大专,探迹科技,"企业客户, 当月发薪, 带薪培训, 一对一带教",民营,1000-9999人,互联网
电话销售专员5k以上,5千-9千,武汉·东西湖·将军路,经验不限,大专,武汉市心智力教育科技有限公司,"企业客户, 电话销售经验, 电话客服经验",民营,20人以下,企业服务
武汉6K地铁巡车值机安检员,6千-8千,武汉·江岸,经验不限,学历不限,广州泰通信息技术服务有限公司,"全白班, 包吃包住, 五险一金, 就近分配, 加班补贴, 免费工装, , ",,100-299人,人工智能
AI软件销售（独角兽企业/当月发薪/高提成）,1万-1.5万,武汉·江夏·关东,经验不限,大专,探迹科技,"企业客户, 电话销售, 晋升空间大, SAAS",民营,1000-9999人,互联网
文旅电销（图书馆政府方向）无责6000，不加班,8千-1.3万,武汉·江汉·汉兴街,经验不限,大专,武汉鼎森电子科技有限公司,"KA大客户, 政府客户, 院校客户, 不加班",民营,100-299人,互联网
武汉地铁后勤7000（上二休一）,6千-1.2万,武汉·江岸,经验不限,学历不限,广州泰通信息技术服务有限公司,,内勤管理,100-299人,人工智能
有点累 但真的赚钱 AI销售（tob/可小白）,1.5万-3万,武汉·江夏·关东,经验不限,大专,探迹科技,"企业客户, 面销/陌拜, 网络销售, 电话销售, 软件销售, , ",民营,1000-9999人,互联网
人事专员,4千-6千,武汉·新洲·阳逻,3-5年,本科,苏培(武汉)智能科技有限公司,"人力资源管理员, 人事培训, 民营, 20-99人",人工智能,人力资源管理员,人工智能
武汉站内看监控/月薪5500,5千-7千,武汉·江汉,经验不限,学历不限,广州泰通信息技术服务有限公司,"倒班制, 五险一金, 就近分配, 免费工装, 加班补贴",包吃包住,100-299人,人工智能
萝卜快跑ai数据标注,6千-8千,武汉·蔡甸·沌口,经验不限,大专,广州欢创信息咨询有限公司,"图像标注, 语音标注",民营,100-299人,人力资源服务
销售开发工程师,4千-8千,武汉·武昌,3-5年,大专,湖北花都锦鑫科技有限公司,"面销/陌拜, 渠道销售",区域销售,20人以下,人工智能
急招上二休一/可短期/6000千,5千-8千,武汉·江岸,无经验,学历不限,广州泰通信息技术服务有限公司,"倒班制, 就近分配, 五险一金, 包吃包住, 免费工装",加班补贴,100-299人,人工智能
电话邀约员,1万-1.5万,武汉·汉阳·永丰街,经验不限,学历不限,建银华盛集团,,销售专员,个人客户（2C）,汽车研发/制造
业务助理（双休、有专人带培）,6千-1万,武汉·关山,1年以下,大专,武汉度因科技有限公司,"院校客户, 客户沟通",市场推广,专人带培,仪器仪表制造
可小白武汉室内地铁登记员6000,6千-8千,武汉·江岸,经验不限,学历不限,广州泰通信息技术服务有限公司,"全白班, 包吃包住, 五险一金, 就近分配, 加班补贴, 免费工装, , ",,100-299人,人工智能
检验人员,4千-6千,武汉·新洲·阳逻,1-3年,高中,苏培(武汉)智能科技有限公司,"来料检验（IQC）, 制程检验（IPQC）, 成品检验（FQC）",民营,20-99人,人工智能
可以自然醒还管饭的班主任（8k-15k）,8千-1.3万,武汉·洪山·关山,经验不限,大专,核桃编程,"电话销售, 网络销售",民营,1000-9999人,计算机软件
武汉站内服务员/7000+,4千-7千,武汉·江汉,无经验,学历不限,广州泰通信息技术服务有限公司,"倒班制, 包吃包住, 五险一金, 就近分配, 免费工装",加班补贴,100-299人,人工智能
招组装工-月入6000,5千-6千·13薪,武汉·江岸,1-3年,高中,武汉智慧大厨物联网科技有限公司,五险一金,民营,20-99人,专用设备制造
急聘核桃编程【9元班主任】，高薪+六险一金,9千-1.4万,武汉·洪山·关山,经验不限,大专,核桃编程,"学前教育, 小学教育, 网络销售, 培训机构, 在线教育平台, , , , , ",民营,1000-9999人,计算机软件
月7K包吃住后勤（上二休一）,6千-1.2万,武汉·武昌,经验不限,学历不限,广州泰通信息技术服务有限公司,,内勤管理,100-299人,人工智能
企业管理咨询顾问,4千-8千,武汉·东西湖·将军路,经验不限,大专,武汉市心智力教育科技有限公司,"企业战略咨询, 电话咨询",民营,20人以下,企业服务
ai智能大客户销售,1万-1.5万,武汉·洪山·关山,3-5年,大专,武汉新鲜人人力资源有限公司,"面销/陌拜, 会议/会展销售",民营,100-299人,人力资源服务
可小白/车站入口行李检查员月薪6000,6千-8千,武汉·江汉,经验不限,学历不限,广州泰通信息技术服务有限公司,"全白班, 包吃包住, 五险一金, 就近分配, 加班补贴, 免费工装, , ",,100-299人,人工智能
【底薪6000+免费住宿】销售专员（接受小白）,1万-1.8万,武汉·洪山·洪山街道,经验不限,学历不限,武汉定诺科技有限公司,"个人客户, 面销/陌拜, 门店销售, 车主, 驻点销售, 销售经验, 民营, 20-99人",人工智能,个人客户,人工智能
视频引流销售给资源好出单,1.5万-3万,武汉·江夏·关东,经验不限,中专/中技,武汉同创蓝天科技有限公司,,企业客户,个人客户,互联网
地铁便利店登记7k（包吃住上二休一）,6千-1.2万,武汉·武昌,经验不限,学历不限,广州泰通信息技术服务有限公司,,信息录入,100-299人,人工智能
招聘钳工,6千-8千,武汉·江夏·佛祖岭,经验不限,学历不限,武汉瑞杰行智能科技有限公司,,装配钳工,20-99人,人工智能
生产管理,6千-1万,武汉·硚口·六角亭,经验不限,大专,上海目柏机电有限公司,"生产设备管理, 生产质量管理",生产安全管理,20-99人,人工智能
急招短期安检服务/月薪5500,5千-6千,武汉·武昌,经验不限,学历不限,广州泰通信息技术服务有限公司,"倒班制, 加班补贴, 就近分配, 包吃包住, 五险一金",免费工装,100-299人,人工智能
一线销售岗，无责底薪6000，不加班,1.1万-1.6万,武汉·江汉·汉兴街,经验不限,大专,武汉鼎森电子科技有限公司,"面销/陌拜, 区域销售, 代理商销售",民营,100-299人,互联网
销售助理兼经理助理,5千-1万,武汉·武昌,5-10年,大专,湖北谷华科技有限公司,计算机，助理，商务,民营,20-99人,人工智能
地铁便利店登记7k（包吃住上二休一）,6千-1.2万,武汉·东西湖·将军路,经验不限,学历不限,广州泰通信息技术服务有限公司,,信息录入,100-299人,人工智能
管理培训生（无责底薪5000+奖金+包住）,8千-1万,武汉·江汉·万松街,经验不限,大专,武汉纪尼西科技有限公司,企业客户,院校客户,个人客户,消费电子产品
不加班-客服,6千-1.2万,武汉·洪山·关山,经验不限,大专,武汉梓承网络科技有限公司,售前客服,民营,20-99人,人工智能
双休武汉地铁服务员可短期无需经验,6千-7千,武汉·江岸,经验不限,学历不限,广州泰通信息技术服务有限公司,"包吃包住, 五险一金, 就近分配, 免费工装, 加班补贴",上二休一,100-299人,人工智能
无责6k渠道销售（tob+提供资源）,9千-1.5万,武汉·江汉,经验不限,大专,武汉鼎森电子科技有限公司,"面销/陌拜, 五险一金",民营,100-299人,互联网
标注员6K（有经验）,6千-8千,武汉·蔡甸·沌口,1-3年,大专,广州欢创信息咨询有限公司,"语音标注, 音频标注, 图像标注",民营,100-299人,人力资源服务
武汉上二休一轻松坐岗安检6k+五险,6千-8千,武汉·武昌,经验不限,学历不限,广州泰通信息技术服务有限公司,"全白班, 包吃包住, 五险一金, 就近分配, 加班补贴, 免费工装, , ",,100-299人,人工智能
招聘普工/操作工,8千-1.5万,武汉·蔡甸·沌阳,经验不限,中专/中技,天津奥锐新能源科技有限公司,20-99人,人工智能,20-99人,人工智能
金地雄楚一号附近教育机构地推发单（长期有效）,1千-1.5千元/月,武汉·洪山·关山,无经验,学历不限,武汉聚融易网络科技有限公司,,股份制企业,20-99人,培训/辅导服务
上二休一武汉地铁登记员底薪3300,6千-8千,武汉·蔡甸·沌口,经验不限,学历不限,广州泰通信息技术服务有限公司,"全白班, 包吃包住, 五险一金, 就近分配, 加班补贴, 免费工装, , ",,100-299人,人工智能
销售客户代表,7千-1.4万,武汉·东西湖·将军路,经验不限,大专,武汉市心智力教育科技有限公司,"面销, 企业客户（2B）, 会议/会展销售, 大客户销售",民营,20人以下,企业服务
电访专员（双休|不加班|寒暑假）,5千-1万,武汉·洪山·关山,经验不限,大专,武汉度因科技有限公司,"硬件行业, 院校客户, 电话拜访, 销售专员, 销售主管",民营,20-99人,仪器仪表制造
双休长白班地铁安检200/天周结,6千-8千,武汉·汉阳,经验不限,学历不限,广州泰通信息技术服务有限公司,"全白班, 包吃包住, 五险一金, 就近分配, 加班补贴, 免费工装, , ",,100-299人,人工智能
总裁班课程顾问,7千-1.4万,武汉·东西湖·将军路,无经验,中专/中技,武汉市心智力教育科技有限公司,"电话销售, 会议/会展销售, 培训机构, 节日福利, 带薪培训, , , , , ",民营,20人以下,企业服务
电话客服（5000+| 双休 | 不加班+）,5千-8千,武汉·洪山·卓刀泉,1-3年,大专,武汉度因科技有限公司,院校客户,民营,20-99人,仪器仪表制造
室内看监控营业员包吃住7000,6千-7千,武汉·武昌,经验不限,学历不限,广州泰通信息技术服务有限公司,"包吃包住, 五险一金, 就近分配, 免费工装, 加班补贴",上二休一,100-299人,人工智能
兼职配音员（方言 外语 游戏 话术 信息流 短剧 商配）,100-200元/次,武汉·江汉·水塔街,1-3年,大专,淮安咪酷科技有限公司,"有声书配音, 游戏配音, 动漫配音, 广告配音, 影视配音, , , , , , ",民营,20人以下,计算机软件
经理助理（双休|不加班|寒暑假）,5千-8千,武汉·关山,1-3年,大专,武汉度因科技有限公司,"仪器仪表, 院校客户, 销售专员, 电话销售",民营,20-99人,仪器仪表制造
周结/月薪6000/轻轨进站安检看监控,6千-8千,武汉·江汉,经验不限,学历不限,广州泰通信息技术服务有限公司,"全白班, 包吃包住, 五险一金, 就近分配, 加班补贴, 免费工装, , ",,100-299人,人工智能
高级城市合伙人,10万-20万,武汉·武昌,经验不限,学历不限,福建库易信息科技有限责任公司,"战略管理, 运营管理, 市场管理, 销售管理, 集团公司, 国企, ",民营,20-99人,计算机软件
仓库（光电行业）,4千-5千,武汉·江夏·关东,1-3年,中专/中技,武汉天眸光电科技有限公司,,民营,20-99人,人工智能
武汉看监控180/可短期,5千-8千,武汉·汉南·东荆,无经验,学历不限,广州泰通信息技术服务有限公司,"加班补贴, 免费工装, 就近分配, 五险一金, 包吃包住",倒班制,100-299人,人工智能
AI电话客服（接受应届生小白/当月发薪）,8千-1.3万,武汉·江夏·关东,经验不限,大专,探迹科技,"KA大客户, 企业客户, 医疗机构, 电话销售, SAAS软件, ",民营,1000-9999人,互联网
电话销售（双休|不加班|寒暑假）,6千-1.2万,武汉·洪山·关山,1-3年,大专,武汉度因科技有限公司,"电话销售, 电话客服",民营,20-99人,仪器仪表制造
双休室内坐岗登记员月薪6000,6千-8千,武汉·江汉,经验不限,学历不限,广州泰通信息技术服务有限公司,"全白班, 包吃包住, 五险一金, 就近分配, 加班补贴, 免费工装, , ",,100-299人,人工智能
电话邀约员,1万-1.5万,武汉·汉阳·永丰街,经验不限,学历不限,建银华盛集团,,销售专员,个人客户（2C）,汽车研发/制造
AI训练师,4千-6千,武汉·硚口·长丰,经验不限,学历不限,武汉坤达安信息安全技术有限公司,政务类AI训练,民营,20-99人,计算机软件
250一天室内坐班看监控检查员,6千-7千,武汉·江岸,经验不限,学历不限,广州泰通信息技术服务有限公司,"包吃包住, 五险一金, 就近分配, 免费工装, 加班补贴",上二休一,100-299人,人工智能
不加班不内卷 美东时区KA客户支持 (EN),6千-1.2万,武汉·江岸,经验不限,学历不限,深圳奇澳人工智能科技有限公司,"VIP客服, 全夜班, 英语",民营,20-99人,人工智能
武汉电销:销售管培生（应届生+全球独角兽）,8千-1.5万,武汉·江夏·关东,经验不限,大专,探迹科技,,民营,1000-9999人,互联网
上二休一武汉安检员包吃住月薪6-7k,6千-7千,武汉·武昌,经验不限,学历不限,广州泰通信息技术服务有限公司,"包吃包住, 五险一金, 就近分配",免费工装,100-299人,人工智能
招钳工-月入8000,6千-8千,武汉·蔡甸·沌口,3-5年,大专,武汉精心智能科技有限公司,装配钳工,民营,20人以下,人工智能
AI大数据电话销售-行业Top红利期，小白，独角兽，五险一金,1万-2万,武汉·江夏·关东,经验不限,大专,探迹科技,"企业客户, 智能销售SAAS软件, TOB软件销售, 有大牛带教",民营,1000-9999人,互联网
无需经验/室内坐岗地铁登记员月薪6k,6千-8千,武汉·江汉,经验不限,学历不限,广州泰通信息技术服务有限公司,"全白班, 包吃包住, 五险一金, 就近分配, 加班补贴, 免费工装, , ",,100-299人,人工智能
体验课社群运营班主任（服务+销售）,7千-1.4万,武汉·洪山·关山,经验不限,学历不限,核桃编程,,民营,1000-9999人,计算机软件
AI软件销售顾问，行业Top红利期，小白，独角兽,1万-2万,武汉·江夏·关东,无经验,大专,探迹科技,"企业客户, 电话销售, 网络销售",民营,1000-9999人,互联网
地铁便利店登记7k（包吃住上二休一）,5千-1万,武汉·江岸,经验不限,学历不限,广州泰通信息技术服务有限公司,,数据录入,100-299人,人工智能
电话销售,4千-8千·13薪,武汉·硚口·长丰,1-3年,大专,武汉坤达安信息安全技术有限公司,政府客户,民营,20-99人,计算机软件
数据标注 五险一金+双休,6千-7千,武汉·蔡甸·沌口,经验不限,大专,上海赞华实业有限公司,"图像标注, 视频标注, 语音标注",民营,100-299人,咨询服务
武汉地铁后勤7000（上二休一）,6千-1.2万,武汉·江岸,经验不限,学历不限,广州泰通信息技术服务有限公司,,内勤管理,100-299人,人工智能
电话销售,7千-1.2万,武汉·汉阳·五里墩街,经验不限,大专,广州福森信息科技有限公司,,民营,20人以下,人工智能
不加班+双休+社保 电话销售,6千-1.2万,武汉·东西湖·将军路,1-3年,学历不限,深圳市博亿鑫电子商务有限公司武汉分公司,"汽车, 游戏, IT服务, 软件行业",电子/半导体,人工智能,电子商务
250/天武汉地铁安检员包吃住,6千-7千,武汉·江岸,经验不限,学历不限,广州泰通信息技术服务有限公司,"包吃包住, 五险一金, 就近分配",免费工装,100-299人,人工智能
渠道专员（湖北）,6千-1万·13薪,武汉·武昌·徐家棚街,经验不限,大专,南京听说科技有限公司,"软件行业, 教育培训, 渠道销售, 院校客户, 全国, 互联网",民营,100-299人,计算机软件
做五休二不加班电话销售,5千-1万,武汉·东西湖·将军路,1-3年,学历不限,深圳市博亿鑫电子商务有限公司武汉分公司,,电子/半导体,人工智能,电子商务
180元/地铁安检员,5千-7千,武汉·江岸,经验不限,学历不限,广州泰通信息技术服务有限公司,"倒班制, 五险一金, 包吃包住, 就近分配, 免费工装",加班补贴,100-299人,人工智能
淘宝客服,4千-6千,武汉·江夏·郑店,1年以下,大专,武汉中精科技有限公司,,民营,100-299人,专用设备制造
大客户销售+双休,5千-1万,武汉·洪山·关山,1-3年,大专,武汉度因科技有限公司,"电话销售, 网络销售, 大客户（KA）",民营,20-99人,仪器仪表制造
武汉7k地铁地勤人员/可就近安排,6千-7千,武汉·黄陂·盘龙经开区,无经验,学历不限,广州泰通信息技术服务有限公司,"车站检票, 治安巡视, 轮班制, 包吃住, 全勤奖",五险一金,100-299人,人工智能
应届实习生（薪水4500+包住）,6千-8千,武汉·江汉·万松街,经验不限,大专,武汉纪尼西科技有限公司,"企业客户, 医疗机构, 政府客户, 会议/会展销售, 直播销售, ",民营,100-299人,消费电子产品
营销专员,5千-1万,武汉·东西湖·将军路,1-3年,大专,武汉市心智力教育科技有限公司,,民营,20人以下,企业服务
急招武汉安检员5000+,4千-6千,武汉·江岸,经验不限,学历不限,广州泰通信息技术服务有限公司,"倒班制, 就近分配, 五险一金, 包吃包住, 免费工装",加班补贴,100-299人,人工智能
可以自然醒还管饭的班主任（8k-15k）,9千-1.8万,武汉·洪山·关山,经验不限,大专,核桃编程,"在线教育, 小学, 初中, 含销售助教, 大型教育公司, 有销售经验",民营,1000-9999人,计算机软件
6k+数据标注员（3D点云方向）,6千-7千,武汉·蔡甸·沌口,1-3年,大专,广州欢创信息咨询有限公司,"数据标注, 3D点云方向, 雷达",民营,100-299人,人力资源服务
上2休1室内坐岗行李检查月薪6500,6千-8千,武汉·江岸,经验不限,学历不限,广州泰通信息技术服务有限公司,"全白班, 包吃包住, 五险一金, 就近分配, 加班补贴, 免费工装, , ",,100-299人,人工智能
AI大数据软件客户开发（电话开发意向/无成交压力）,8千-1.4万,武汉·江夏·关东,经验不限,大专,探迹科技,"售前客服, 售后客服, 电话客服, 电话销售, 软件销售, B端销售",民营,1000-9999人,互联网
销售培养生,4千-5千,武汉·江夏·关东,经验不限,大专,武汉咏绎仪器仪表有限公司,"人工智能, 通信/网络设备, 电子/半导体, 3c电子产品, 仪器仪表, , , , 民营, 20-99人",仪器仪表制造,人工智能,仪器仪表制造
7k武汉室内地站营业员（包吃住）,6千-7千,武汉·洪山·张家湾,无经验,学历不限,广州泰通信息技术服务有限公司,"车站检票, 治安巡视, 轮班制, 包吃住, 全勤奖",五险一金,100-299人,人工智能
仓库员（光电行业）,4千-5千,武汉·江夏·关东,1-3年,中专/中技,武汉天眸光电科技有限公司,,民营,20-99人,人工智能
周末双休全白班：3d数据标注（百度云）,6千-7千·13薪,武汉·蔡甸·沌口,1-3年,大专,广州欢创信息咨询有限公司,"图像标注, 文本标注, 语音标注, 审核, 数据标注, 周末双休, ",民营,100-299人,人力资源服务
