岗位名称,薪资,工作地点,工作经验,学历要求,企业,岗位需求,公司类型,岗位需求人数,企业服务
大数据架构工程师,8千-1万,天津·河西·马场,1-3年,本科,天津开明管理技术咨询有限公司,"大数据开发, 数据库开发, 数据仓库",其它,20-99人,计算机软件
早9晚6 HAD Map 数据工程师,4千-8千,天津·津南·咸水沽,1年以下,大专,天津职海速聘人力资源有限公司,"数据挖掘, 数据建模, 数据治理",股份制企业,300-499人,人力资源服务
请把大数据推给想挣钱的销售！！,7千-1.2万,天津·滨海新区·泰达,无经验,学历不限,天津市快团科技有限公司,100-299人,电子商务,100-299人,电子商务
大数据开发工程师,8千-1.2万,天津·河东·上杭路,3-5年,本科,中国通信建设集团设计院有限公司,"Flink, C++, 数据库开发",国企,1000-9999人,运营商/增值服务
数据开发,1.5万-2万,天津·东丽·华明,3-5年,本科,北京科锐国际人力资源股份有限公司苏州分公司,"Hadoop, Kafka, Sql",上市公司,1000-9999人,咨询服务
见习数据处理工程师,5千-8千·14薪,天津·津南·双桥河,无经验,大专,天津科比劳务有限公司,,民营,20人以下,企业服务
地图数据工程师,3千-6千,天津·西青·张家窝,经验不限,大专,天津图淼科技发展有限公司,,地图数据标注,互联网,互联网
大数据开发工程师,1.5万-3万,天津·滨海新区·泰达,5-10年,本科,海油来博(天津)科技股份有限公司,"数据治理, ETL, 石油行业",合资,100-299人,石油/石化
大数据开发工程师,1万-1.5万,天津·西青·精武镇,1-3年,本科,天津戎行集团有限公司,"数据建模, ETL开发, 数据治理, 数仓开发, Flink sql, Hive sql, , , , , ",民营,100-299人,人工智能
津南数据工程师上九下六提供住宿月入6000+,9千-1万,天津·津南·咸水沽,1-3年,大专,天津职海速聘人力资源有限公司,"五险一金, 提供住宿, 上九下六",股份制企业,300-499人,人力资源服务
数据标注,5千-6千,天津·西青·中北,经验不限,大专,纬创软件,,港澳台公司,1000-9999人,计算机软件
大数据开发工程师,8千-1.5万,天津·东丽·新立,3-5年,本科,天津凌智皓越航空科技有限公司,"数据治理, Hadoop, Flink, 数据仓库, 数据挖掘",民营,20-99人,船舶/航空/航天/火车制造
大数据开发工程师,8千-1万,天津·河西·马场,1-3年,本科,天津开明管理技术咨询有限公司,"数据库开发, Scala, Python, Sql, Hadoop, Flink, Spark, , ",其它,20-99人,计算机软件
HAD Map数据工程师月入6000+,6千-1.1万,天津·津南·咸水沽,经验不限,大专,天津职海速聘人力资源有限公司,"GIS数据处理, 桌面GIS开发, 移动GIS开发",股份制企业,300-499人,人力资源服务
数据标注+五险一金,5千-6千,天津·西青·张家窝,经验不限,大专,万古人力科技集团有限公司,数据标注,民营,20-99人,人力资源服务
大数据工程师,8千-1.5万,天津·南开·向阳路,1-3年,本科,天津辉宏科技发展有限公司,"Hadoop, Spark, Sql, Java, Python, 数据库开发, , , ",民营,20-99人,IT服务
大数据开发工程师,1.3万-1.7万,天津·红桥·西沽,5-10年,本科,天津卓朗科技发展有限公司,"Java, 数据仓库",上市公司,500-999人,IT服务
数据标注 朝九晚六 五险一金,4千-6千,天津·西青·张家窝,经验不限,大专,万古人力科技集团有限公司,"图像标注, 语音标注, 音频标注, 视频标注, 文本标注",民营,20-99人,人力资源服务
早9晚6 HAD Map 数据工程师 月薪1w,4千-8千,天津·津南·咸水沽,1-3年,大专,天津职海速聘人力资源有限公司,"数据建模, Python, Matlab",股份制企业,300-499人,人力资源服务
大数据算法工程师-软件开发工程师,1.2万-2.4万,天津·南开·体育中心,3-5年,本科,天津出书之家教育科技有限公司,"深度学习, 机器学习, 图像算法, ViT, CLIP, VGGNet",股份制企业,100-299人,新闻/出版
电气工程师（光伏大数据事业部）,9千-1.6万,天津·西青·张家窝,经验不限,本科,信息产业电子第十一设计研究院科技工程股份有限公司天津分公司,电气设计,股份制企业,100-299人,房地产开发
互联网电商/大数据软件推广专员,7千-1.4万,天津·南开·长虹,1-3年,高中,新骅光医疗科技集团有限公司,"互联网, 生物医疗/大健康, 医疗设备/器械, 电子商务, 新零售, , , , ",民营,1000-9999人,医疗设备/器械
